;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
25/09/2024;14:02:11;15780.00;;80.021;97.456;---;---;15.522;15.522;15.522;---;995.02;70.629;15.522;---;---;27.329;24.758;13.602;---;67.571;19.057;0.073;---;4.763;5.603;3.602;---;;
25/09/2024;14:02:41;15810.00;;79.977;97.903;---;---;15.517;15.517;15.517;---;995.01;70.744;15.517;---;---;27.336;24.705;5.660;---;67.529;19.087;0.073;---;4.785;5.635;3.609;---;;
25/09/2024;14:03:11;15840.00;;80.253;97.299;---;---;15.523;15.523;15.523;---;995.00;70.759;15.523;---;---;27.294;24.778;12.705;---;67.529;19.051;0.062;---;4.807;5.644;3.617;---;;
25/09/2024;14:03:41;15870.00;;80.190;97.687;---;---;15.524;15.524;15.524;---;994.91;70.499;15.524;---;---;27.304;24.732;-0.417;---;67.451;19.059;0.073;---;4.804;5.660;3.618;---;;
25/09/2024;14:04:11;15900.00;;80.365;97.343;---;---;15.499;15.499;15.499;---;994.97;70.273;15.499;---;---;27.281;24.775;14.314;---;67.377;19.055;0.082;---;4.793;5.646;3.632;---;;
25/09/2024;14:04:41;15930.00;;80.338;97.748;---;---;15.479;15.479;15.479;---;994.96;70.065;15.479;---;---;27.287;24.730;9.390;---;67.343;19.073;0.058;---;4.805;5.614;3.636;---;;
25/09/2024;14:05:11;15960.00;;80.694;97.217;---;---;15.477;15.477;15.477;---;994.95;70.044;15.477;---;---;27.235;24.794;4.078;---;67.315;19.083;0.063;---;4.826;5.663;3.635;---;;
25/09/2024;14:05:41;15990.00;;80.400;97.544;---;---;15.490;15.490;15.490;---;994.97;69.945;15.490;---;---;27.276;24.752;13.166;---;67.272;19.070;0.085;---;4.825;5.588;3.629;---;;
25/09/2024;14:06:11;16020.00;;80.658;97.830;---;---;15.495;15.495;15.495;---;994.94;69.830;15.495;---;---;27.238;24.718;20.576;---;67.214;19.066;0.073;---;4.845;5.600;3.619;---;;
25/09/2024;14:06:41;16050.00;;80.652;97.079;---;---;15.505;15.505;15.505;---;994.95;69.714;15.505;---;---;27.238;24.806;0.730;---;67.197;19.048;0.066;---;4.803;5.628;3.630;---;;
25/09/2024;14:07:11;16080.00;;80.819;97.061;---;---;15.512;15.512;15.512;---;994.98;69.693;15.512;---;---;27.212;24.808;5.107;---;67.222;19.065;0.072;---;4.797;5.584;3.608;---;;
25/09/2024;14:07:41;16110.00;;80.765;97.437;---;---;15.514;15.514;15.514;---;994.97;69.553;15.514;---;---;27.220;24.762;6.949;---;67.138;19.055;0.078;---;4.811;5.617;3.612;---;;
25/09/2024;14:08:11;16140.00;;80.917;97.108;---;---;15.515;15.515;15.515;---;994.95;69.533;15.515;---;---;27.197;24.801;13.993;---;67.147;19.069;0.074;---;4.819;5.647;3.648;---;;
25/09/2024;14:08:41;16170.00;;80.752;97.441;---;---;15.519;15.519;15.519;---;994.97;69.416;15.519;---;---;27.221;24.761;10.172;---;67.138;19.062;0.073;---;4.821;5.602;3.615;---;;
25/09/2024;14:09:11;16200.00;;80.959;97.496;---;---;15.513;15.513;15.513;---;994.99;69.533;15.513;---;---;27.191;24.755;6.472;---;67.104;19.077;0.079;---;4.793;5.617;3.615;---;;
25/09/2024;14:09:41;16230.00;;80.593;97.196;---;---;15.509;15.509;15.509;---;994.93;69.660;15.509;---;---;27.246;24.792;20.735;---;67.143;19.087;0.068;---;4.846;5.635;3.633;---;;
25/09/2024;14:10:11;16260.00;;80.774;97.335;---;---;15.511;15.511;15.511;---;995.02;69.810;15.511;---;---;27.218;24.774;3.935;---;67.137;19.073;0.074;---;4.829;5.615;3.606;---;;
